2021/04/27 21:28:08,Afisare Date de nastere utilizatori
2021/04/27 21:28:40,Afisare Date de nastere utilizatori
2021/04/27 21:28:40,Afisare utilizatori
2021/04/27 21:28:48,Afisare Date de nastere utilizatori
2021/04/27 21:28:49,Afisare utilizatori
2021/04/27 21:36:26,Afisare Suma Totala facuta de aplicatie
2021/04/27 21:37:27,Afisare Suma Totala facuta de aplicatie
2021/04/28 12:32:14,Afisare Date de nastere utilizatori
2021/04/28 12:32:15,Afisare utilizatori
2021/04/28 17:38:48,Afisare Date de nastere utilizatori
2021/04/28 17:38:51,Afisare utilizatori
2021/04/28 17:40:59,Afisare Date de nastere utilizatori
2021/04/28 17:41:25,Afisare Date de nastere utilizatori
2021/04/28 17:41:36,Afisare masini aplicatie Food Delivery
2021/04/28 17:43:09,Add masina
2021/04/28 17:43:15,Afisare masini aplicatie Food Delivery
2021/04/28 17:43:40,Afisare toate comenzile aplicatiei
2021/04/28 17:51:17,Afisare Date de nastere utilizatori
2021/04/28 17:52:29,Afisare masini aplicatie Food Delivery
2021/04/28 17:54:58,Afisare Date de nastere utilizatori
2021/04/28 20:57:39,Afisare utilizatori
2021/04/28 20:57:40,Afisare Date de nastere utilizatori
2021/04/28 20:57:48,Afisare masini aplicatie Food Delivery
2021/04/28 21:52:16,Afisare utilizatori
2021/04/28 22:53:23,Afisare Date de nastere utilizatori
2021/04/28 22:53:34,Afisare utilizatori
2021/04/28 22:56:04,Afisare utilizatori
2021/04/28 23:07:42,Afisare utilizatori
2021/04/28 23:11:36,Afisare utilizatori
2021/04/28 23:33:58,Afisare utilizatori
2021/04/28 23:36:39,Afisare Date de nastere utilizatori
2021/04/28 23:36:41,Afisare utilizatori
2021/04/28 23:41:53,Afisare utilizatori
2021/04/28 23:41:56,Afisare utilizatori
2021/04/28 23:43:18,Afisare utilizatori
2021/04/28 23:43:43,Afisare utilizatori
2021/04/28 23:46:08,Afisare utilizatori
2021/04/28 23:52:33,Afisare utilizatori
2021/04/28 23:53:14,Afisare utilizatori
2021/04/28 23:53:20,Afisare Date de nastere utilizatori
2021/04/29 00:02:21,Afisare livratori
2021/04/29 00:03:57,Afisare livratori
2021/04/29 00:04:52,Afisare livratori
2021/04/29 00:06:37,Afisare utilizatori
2021/04/29 00:06:42,Afisare livratori
2021/04/29 00:07:55,Afisare livratori
2021/04/29 00:08:17,Afisare livratori
2021/04/29 00:09:45,Afisare livratori
2021/04/29 00:12:27,Afisare livratori
2021/04/29 00:14:18,Afisare livratori
2021/04/29 00:15:31,Afisare livratori
2021/04/29 00:23:28,Afisare livratori
2021/04/29 00:24:30,Afisare livratori
2021/04/29 00:25:43,Afisare livratori
2021/04/29 00:27:29,Afisare livratori
2021/04/29 00:28:51,Afisare livratori
2021/04/29 00:29:23,Afisare livratori
2021/04/29 00:30:06,Afisare livratori
2021/04/29 00:30:25,Afisare livratori
2021/04/29 00:31:10,Afisare livratori
2021/04/29 00:33:09,Afisare livratori
2021/04/29 00:33:13,Afisare utilizatori
2021/04/29 00:33:58,Afisare toate restaurantele aplicatiei
2021/04/29 00:34:08,Afisare meniu restaurant
2021/05/24 15:23:27,Afisare Suma Totala facuta de aplicatie
2021/05/24 15:23:33,Afisare meniu restaurant
2021/05/24 15:26:27,Afisare Suma Totala facuta de aplicatie
2021/05/24 15:26:32,Afisare utilizatori
2021/05/25 10:39:11,Afisare Suma Totala facuta de aplicatie
2021/05/25 10:41:01,Afisare Suma Totala facuta de aplicatie
2021/05/25 10:43:00,Afisare Suma Totala facuta de aplicatie
2021/05/25 10:43:39,Afisare Suma Totala facuta de aplicatie
2021/05/25 10:43:40,Afisare Suma Totala facuta de aplicatie
2021/05/26 09:18:20,Add utilizator
2021/05/26 11:51:27,Afisare meniu restaurant
2021/05/26 11:51:35,Afisare utilizatori
2021/05/26 11:53:23,Afisare toate restaurantele aplicatiei
2021/05/26 16:47:49,Add utilizator
2021/05/26 16:48:03,Afisare utilizatori
2021/05/26 16:51:28,Afisare Suma Totala facuta de aplicatie
2021/06/23 22:40:13,Afisare livratori
2022/12/12 21:12:42,Afisare total pret comanda x
2022/12/13 18:27:03,Add utilizator
2022/12/14 14:00:18,Afisare Suma Totala facuta de aplicatie
2022/12/14 14:00:28,Afisare toate comenzile aplicatiei
